Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Bahrain,26.0275,50.55,1/22/20,0,0,0
,Bahrain,26.0275,50.55,1/23/20,0,0,0
,Bahrain,26.0275,50.55,1/24/20,0,0,0
,Bahrain,26.0275,50.55,1/25/20,0,0,0
,Bahrain,26.0275,50.55,1/26/20,0,0,0
,Bahrain,26.0275,50.55,1/27/20,0,0,0
,Bahrain,26.0275,50.55,1/28/20,0,0,0
,Bahrain,26.0275,50.55,1/29/20,0,0,0
,Bahrain,26.0275,50.55,1/30/20,0,0,0
,Bahrain,26.0275,50.55,1/31/20,0,0,0
,Bahrain,26.0275,50.55,2/1/20,0,0,0
,Bahrain,26.0275,50.55,2/2/20,0,0,0
,Bahrain,26.0275,50.55,2/3/20,0,0,0
,Bahrain,26.0275,50.55,2/4/20,0,0,0
,Bahrain,26.0275,50.55,2/5/20,0,0,0
,Bahrain,26.0275,50.55,2/6/20,0,0,0
,Bahrain,26.0275,50.55,2/7/20,0,0,0
,Bahrain,26.0275,50.55,2/8/20,0,0,0
,Bahrain,26.0275,50.55,2/9/20,0,0,0
,Bahrain,26.0275,50.55,2/10/20,0,0,0
,Bahrain,26.0275,50.55,2/11/20,0,0,0
,Bahrain,26.0275,50.55,2/12/20,0,0,0
,Bahrain,26.0275,50.55,2/13/20,0,0,0
,Bahrain,26.0275,50.55,2/14/20,0,0,0
,Bahrain,26.0275,50.55,2/15/20,0,0,0
,Bahrain,26.0275,50.55,2/16/20,0,0,0
,Bahrain,26.0275,50.55,2/17/20,0,0,0
,Bahrain,26.0275,50.55,2/18/20,0,0,0
,Bahrain,26.0275,50.55,2/19/20,0,0,0
,Bahrain,26.0275,50.55,2/20/20,0,0,0
,Bahrain,26.0275,50.55,2/21/20,0,0,0
,Bahrain,26.0275,50.55,2/22/20,0,0,0
,Bahrain,26.0275,50.55,2/23/20,0,0,0
,Bahrain,26.0275,50.55,2/24/20,1,0,0
,Bahrain,26.0275,50.55,2/25/20,23,0,0
,Bahrain,26.0275,50.55,2/26/20,33,0,0
,Bahrain,26.0275,50.55,2/27/20,33,0,0
,Bahrain,26.0275,50.55,2/28/20,36,0,0
,Bahrain,26.0275,50.55,2/29/20,41,0,0
,Bahrain,26.0275,50.55,3/1/20,47,0,0
,Bahrain,26.0275,50.55,3/2/20,49,0,0
,Bahrain,26.0275,50.55,3/3/20,49,0,0
,Bahrain,26.0275,50.55,3/4/20,52,0,0
,Bahrain,26.0275,50.55,3/5/20,55,0,0
,Bahrain,26.0275,50.55,3/6/20,60,0,4
,Bahrain,26.0275,50.55,3/7/20,85,0,4
,Bahrain,26.0275,50.55,3/8/20,85,0,4
,Bahrain,26.0275,50.55,3/9/20,95,0,14
,Bahrain,26.0275,50.55,3/10/20,110,0,22
,Bahrain,26.0275,50.55,3/11/20,195,0,35
,Bahrain,26.0275,50.55,3/12/20,195,0,35
,Bahrain,26.0275,50.55,3/13/20,195,0,44
,Bahrain,26.0275,50.55,3/14/20,210,0,44
,Bahrain,26.0275,50.55,3/15/20,214,0,60
,Bahrain,26.0275,50.55,3/16/20,214,1,77
,Bahrain,26.0275,50.55,3/17/20,228,1,81
,Bahrain,26.0275,50.55,3/18/20,256,1,88
,Bahrain,26.0275,50.55,3/19/20,278,1,100
,Bahrain,26.0275,50.55,3/20/20,285,1,100
,Bahrain,26.0275,50.55,3/21/20,305,1,125
,Bahrain,26.0275,50.55,3/22/20,334,2,149
,Bahrain,26.0275,50.55,3/23/20,377,2,149
,Bahrain,26.0275,50.55,3/24/20,392,3,177
,Bahrain,26.0275,50.55,3/25/20,419,4,177
,Bahrain,26.0275,50.55,3/26/20,458,4,204
,Bahrain,26.0275,50.55,3/27/20,466,4,227
,Bahrain,26.0275,50.55,3/28/20,476,4,265
,Bahrain,26.0275,50.55,3/29/20,499,4,272
,Bahrain,26.0275,50.55,3/30/20,515,4,279
,Bahrain,26.0275,50.55,3/31/20,567,4,295
,Bahrain,26.0275,50.55,4/1/20,569,4,337
,Bahrain,26.0275,50.55,4/2/20,643,4,381
,Bahrain,26.0275,50.55,4/3/20,672,4,382
,Bahrain,26.0275,50.55,4/4/20,688,4,423
,Bahrain,26.0275,50.55,4/5/20,700,4,431
,Bahrain,26.0275,50.55,4/6/20,756,4,458
,Bahrain,26.0275,50.55,4/7/20,811,5,458
,Bahrain,26.0275,50.55,4/8/20,823,5,477
,Bahrain,26.0275,50.55,4/9/20,887,5,519
,Bahrain,26.0275,50.55,4/10/20,925,6,539
,Bahrain,26.0275,50.55,4/11/20,1040,6,555
,Bahrain,26.0275,50.55,4/12/20,1136,6,558
,Bahrain,26.0275,50.55,4/13/20,1361,6,591
,Bahrain,26.0275,50.55,4/14/20,1528,7,645
,Bahrain,26.0275,50.55,4/15/20,1671,7,663
,Bahrain,26.0275,50.55,4/16/20,1700,7,703
,Bahrain,26.0275,50.55,4/17/20,1740,7,725
,Bahrain,26.0275,50.55,4/18/20,1773,7,755
,Bahrain,26.0275,50.55,4/19/20,1881,7,759
,Bahrain,26.0275,50.55,4/20/20,1907,7,769
,Bahrain,26.0275,50.55,4/21/20,1973,7,784
,Bahrain,26.0275,50.55,4/22/20,2027,7,1026
,Bahrain,26.0275,50.55,4/23/20,2217,8,1082
,Bahrain,26.0275,50.55,4/24/20,2518,8,1113
,Bahrain,26.0275,50.55,4/25/20,2588,8,1160
,Bahrain,26.0275,50.55,4/26/20,2647,8,1189
,Bahrain,26.0275,50.55,4/27/20,2723,8,1218
,Bahrain,26.0275,50.55,4/28/20,2811,8,1310
,Bahrain,26.0275,50.55,4/29/20,2921,8,1455
,Bahrain,26.0275,50.55,4/30/20,3040,8,1500
,Bahrain,26.0275,50.55,5/1/20,3170,8,1555
,Bahrain,26.0275,50.55,5/2/20,3284,8,1568
,Bahrain,26.0275,50.55,5/3/20,3383,8,1718
,Bahrain,26.0275,50.55,5/4/20,3533,8,1744
,Bahrain,26.0275,50.55,5/5/20,3720,8,1762
,Bahrain,26.0275,50.55,5/6/20,3934,8,1860
,Bahrain,26.0275,50.55,5/7/20,4199,8,2000
,Bahrain,26.0275,50.55,5/8/20,4444,8,2028
,Bahrain,26.0275,50.55,5/9/20,4774,8,2055
,Bahrain,26.0275,50.55,5/10/20,4941,8,2070
,Bahrain,26.0275,50.55,5/11/20,5236,8,2152
,Bahrain,26.0275,50.55,5/12/20,5531,9,2192
,Bahrain,26.0275,50.55,5/13/20,5816,10,2205
,Bahrain,26.0275,50.55,5/14/20,6198,10,2353
,Bahrain,26.0275,50.55,5/15/20,6583,12,2640
,Bahrain,26.0275,50.55,5/16/20,6747,12,2762
,Bahrain,26.0275,50.55,5/17/20,6956,12,2910
,Bahrain,26.0275,50.55,5/18/20,7184,12,2931
,Bahrain,26.0275,50.55,5/19/20,7532,12,2952
,Bahrain,26.0275,50.55,5/20/20,7888,12,3568
,Bahrain,26.0275,50.55,5/21/20,8174,12,3873
,Bahrain,26.0275,50.55,5/22/20,8414,12,4096
,Bahrain,26.0275,50.55,5/23/20,8802,13,4465
,Bahrain,26.0275,50.55,5/24/20,9138,14,4587
,Bahrain,26.0275,50.55,5/25/20,9171,14,4753
,Bahrain,26.0275,50.55,5/26/20,9366,14,4938
,Bahrain,26.0275,50.55,5/27/20,9692,15,5152
,Bahrain,26.0275,50.55,5/28/20,10052,15,5419
,Bahrain,26.0275,50.55,5/29/20,10449,15,5700
,Bahrain,26.0275,50.55,5/30/20,10793,17,5826
,Bahrain,26.0275,50.55,5/31/20,11398,19,6673
,Bahrain,26.0275,50.55,6/1/20,11871,19,7070
,Bahrain,26.0275,50.55,6/2/20,12311,19,7407
,Bahrain,26.0275,50.55,6/3/20,12815,20,7410
,Bahrain,26.0275,50.55,6/4/20,13296,21,7728
,Bahrain,26.0275,50.55,6/5/20,13835,22,8585
,Bahrain,26.0275,50.55,6/6/20,14383,24,9056
,Bahrain,26.0275,50.55,6/7/20,14763,26,9468
,Bahrain,26.0275,50.55,6/8/20,15417,27,10326
,Bahrain,26.0275,50.55,6/9/20,15731,29,10606
,Bahrain,26.0275,50.55,6/10/20,16200,31,11109
,Bahrain,26.0275,50.55,6/11/20,16667,34,11487
,Bahrain,26.0275,50.55,6/12/20,17269,36,11903
,Bahrain,26.0275,50.55,6/13/20,17713,37,12191
,Bahrain,26.0275,50.55,6/14/20,18227,42,12818
,Bahrain,26.0275,50.55,6/15/20,19013,46,13267
,Bahrain,26.0275,50.55,6/16/20,19553,47,13866
,Bahrain,26.0275,50.55,6/17/20,19961,49,14185
,Bahrain,26.0275,50.55,6/18/20,20430,55,14696
,Bahrain,26.0275,50.55,6/19/20,20916,57,15287
,Bahrain,26.0275,50.55,6/20/20,21331,60,15790
,Bahrain,26.0275,50.55,6/21/20,21764,63,16419
,Bahrain,26.0275,50.55,6/22/20,22407,65,16862
,Bahrain,26.0275,50.55,6/23/20,23062,67,17450
,Bahrain,26.0275,50.55,6/24/20,23570,69,17977
,Bahrain,26.0275,50.55,6/25/20,24081,71,18501
,Bahrain,26.0275,50.55,6/26/20,24805,73,19137
,Bahrain,26.0275,50.55,6/27/20,25267,78,19781
,Bahrain,26.0275,50.55,6/28/20,25705,83,20517
,Bahrain,26.0275,50.55,6/29/20,26239,84,20928
,Bahrain,26.0275,50.55,6/30/20,26758,87,21331
,Bahrain,26.0275,50.55,7/1/20,27414,92,21948
,Bahrain,26.0275,50.55,7/2/20,27837,94,22583
,Bahrain,26.0275,50.55,7/3/20,28410,95,23318
,Bahrain,26.0275,50.55,7/4/20,28857,96,23959
,Bahrain,26.0275,50.55,7/5/20,29367,97,24649
